country,population
ABW,38
AFG,206
AGO,51
AIA,25
ALB,124
AND,50
ANT,16
ARE,113
ARG,1055
ARM,71
ATG,22
AUS,6175
AUT,2067
AZE,83
BDI,9
BEL,1606
BEN,13
BFA,7
BGD,86
BGR,173
BHR,72
BHS,38
BIH,50
BLR,141
BLZ,12
BMU,11
BOL,53
BRA,1794
BRB,36
BRN,16
BTN,12
BWA,15
CAF,3
CAN,5487
CHE,1703
CHL,815
CHN,637
CIV,22
CMR,24
COD,14
COG,9
COK,5
COL,630
COM,4
CPV,9
CRI,213
CUB,25
CYM,8
CYP,69
CZE,606
DEU,9325
DJI,3
DMA,1
DNK,704
DOM,93
DZA,159
ECU,132
EGY,134
ERI,5
ESP,3148
EST,185
ETH,24
EU,68
FIN,602
FJI,14
FRA,11675
FRO,5
FSM,5
For,2
GAB,9
GBR,4520
GEO,42
GGY,9
GHA,21
GIB,3
GIN,5
GMB,3
GNB,1
GRC,569
GRD,3
GRL,2
GTM,71
GUF,9
GUM,1
GUY,6
HKG,293
HND,35
HRV,214
HTI,18
HUN,826
Hon,14
IDN,148
IMN,8
IND,980
IRL,570
IRN,277
IRQ,20
ISL,135
ISR,732
ITA,3850
JAM,11
JEY,10
JOR,38
JPN,850
KAZ,86
KEN,28
KGZ,17
KHM,12
KIR,3
KNA,2
KOR,712
KWT,20
LAO,6
LBN,68
LBR,2
LBY,6
LCA,2
LIE,6
LKA,51
LSO,1
LTU,149
LUX,230
LVA,98
MAC,16
MAR,155
MCO,25
MDA,57
MDG,14
MDV,3
MEX,5750
MHL,2
MKD,52
MLI,6
MLT,45
MMR,12
MNE,8
MNG,15
MOZ,6
MRT,4
MSR,3
MUS,23
MWI,6
MYS,228
MYT,4
NAM,10
NER,5
NGA,43
NIC,18
NIU,2
NLD,1034
NOR,1598
NPL,20
NRU,1
NZL,715
OMN,12
PAK,134
PAN,52
PER,216
PHL,197
PLW,1
PNG,7
POL,1198
PRI,85
PRK,7
PRT,1408
PRY,27
PSE,15
QAT,9
ROU,360
RUS,2010
RWA,5
SAU,91
SDN,6
SEN,13
SGP,437
SHN,2
SLE,5
SLV,58
SM2,4
SMR,4
SOM,6
SRB,141
SUR,4
SVK,263
SVN,188
SWE,1066
SWZ,5
SYC,2
SYR,46
TCD,4
TGO,9
THA,216
TJK,5
TKM,4
TON,2
TTO,31
TUN,83
TUR,1732
TUV,3
TWN,232
TZA,15
UGA,20
UKR,442
URY,85
USA,18019
UZB,15
VCT,3
VEN,370
VGB,7
VIR,18
VNM,95
VUT,3
WLF,4
YEM,2
ZAF,294
ZMB,6
ZWE,14
Total,106306
